title,mean_rating,number_of_ratings
Breakfast at Tiffany's (1961),3.9390243902,41
Breakfast of Champions (1999),3.0,1
Breakheart Pass (1975),3.25,2
Breakin' (1984),2.0,2
Breakin' 2: Electric Boogaloo (1984),2.0,2
Breaking Away (1979),4.25,12
Breaking In (1989),2.0,1
"Breaking Point, The (1950)",4.0,1
Breaking and Entering (2006),3.3333333333,3
Breaking the Waves (1996),3.5,18
Breast Men (1997),0.5,1
Breath (Soom) (2007),3.5,2
Breathless (1983),2.75,2
Breathless (Ddongpari) (2009),3.0,1
Breathless (À bout de souffle) (1960),3.8181818182000002,11
Breezy (1973),2.5,1
Brenda Starr (1989),1.0,1
Brewster's Millions (1985),3.125,8
"Bribe, The (1949)",3.0,1
Brick (2005),3.3846153846,13
Brick Lane (2007),2.5,1
Brick Mansions (2014),3.5,1
Bride & Prejudice (2004),3.25,8
"Bride Came C.O.D., The (1941)",2.5,1
Bride Flight (2008),2.0,1
Bride Wars (2009),2.5,3
"Bride Wore Black, The (La mariée était en noir) (1968)",3.0,1
Bride of Chucky (Child's Play 4) (1998),1.9285714286000002,7
"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",3.7142857143,14
Bride of Re-Animator (1990),3.0,1
Bride of the Monster (1955),5.0,1
Bride of the Wind (2001),2.0,1
Brideshead Revisited (2008),3.75,2
Bridesmaids (2011),3.9545454545,11
"Bridge Too Far, A (1977)",3.9285714286,7
"Bridge at Remagen, The (1969)",4.0,1
"Bridge of San Luis Rey, The (2004)",2.75,2
Bridge of Spies (2015),4.5,2
"Bridge on the River Kwai, The (1957)",4.1590909091,66
Bridge to Terabithia (2007),3.4285714286,7
"Bridge, The (2006)",3.5,1
"Bridges of Madison County, The (1995)",3.3571428571,35
Bridget Jones's Diary (2001),3.6666666667000003,57
Bridget Jones: The Edge of Reason (2004),2.6363636364,11
Brief Encounter (1946),4.0,3
"Brief History of Time, A (1991)",4.25,2
Brigadoon (1954),3.25,2
Bright Eyes (1934),4.0,1
"Bright Lights, Big City (1988)",3.0,1
Bright Star (2009),2.75,2
Bright Young Things (2003),3.25,2
Brighton Beach Memoirs (1986),3.75,6
Brighton Rock (1947),4.5,1
Brighton Rock (2010),4.0,1
Brimstone and Treacle (1982),2.75,2
Bring It On (2000),3.3611111111,18
Bring It On Again (2004),2.8333333333,3
Bring Me the Head of Alfredo Garcia (1974),4.0,3
Bring on the Night (1985),3.5,1
Bringing Down the House (2003),2.4583333333,12
Bringing Out the Dead (1999),3.6052631579,19
Bringing Up Baby (1938),4.0294117647,17
"Brink's Job, The (1978)",3.0,1
Britannia Hospital (1982),2.5,1
Broadcast News (1987),3.6451612903,31
Broadway Danny Rose (1984),3.5,3
Broadway Melody of 1936 (1935),2.0,1
Broadway Melody of 1940 (1940),3.5,1
Brokeback Mountain (2005),3.5,25
Brokedown Palace (1999),2.6,5
Broken (2006),2.0,1
Broken Arrow (1950),1.75,2
Broken Arrow (1996),3.0963302752,109
Broken Blossoms or The Yellow Man and the Girl (1919),3.25,2
Broken City (2013),2.9,5
Broken Embraces (Los abrazos rotos) (2009),3.3333333333,3
Broken English (1996),4.0,1
Broken Flowers (2005),3.4166666667,12
"Broken Hearts Club, The (2000)",5.0,1
Broken Vessels (1998),3.0,1
Bronco Billy (1980),2.6666666667000003,3
Bronson (2009),3.75,2
"Bronx Tale, A (1993)",3.75,16
"Brood, The (1979)",3.5,1
Brooklyn (2015),3.0,1
Brooklyn's Finest (2010),2.875,4
Brother (2000),3.3,5
Brother (Brat) (1997),3.5,1
Brother 2 (Brat 2) (2000),4.5,1
Brother Bear (2003),2.5,3
Brother Minister: The Assassination of Malcolm X (1994),4.0,1
"Brother Sun, Sister Moon (Fratello sole, sorella luna) (1972)",3.5,1
"Brother from Another Planet, The (1984)",2.0,2
"Brotherhood of Justice, The (1986)",4.0,1
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",3.1315789474,19
"Brotherhood, The (1968)",2.0,1
Brothers (2009),3.6,5
"Brothers Bloom, The (2008)",3.3571428571,7
"Brothers Grimm, The (2005)",2.8846153846,13
"Brothers Karamazov, The (1958)",3.5,1
"Brothers McMullen, The (1995)",3.3333333333,21
"Brown Bunny, The (2003)",1.0,1
Brown Sugar (2002),3.0,1
"Browning Version, The (1994)",4.25,4
Brubaker (1980),2.9,5
Bruce Almighty (2003),3.0147058824,34
Brute Force (1947),3.5,1
"Brøken, The (a.k.a. Broken, The) (2008)",3.0,1
Brüno (Bruno) (2009),2.75,10
Bubba Ho-tep (2002),3.8181818182000002,11
Bubble (2006),2.0,1
Bubble Boy (2001),1.4,5
Buck (2011),3.25,2
Buck and the Preacher (1972),3.0,1
"Bucket List, The (2007)",3.6,15
Buddy (2003),3.5,1
"Buddy Holly Story, The (1978)",3.3,5
Buena Vista Social Club (1999),4.1818181818,11
Buffalo '66 (a.k.a. Buffalo 66) (1998),3.5357142857,14
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson (a.k.a. Buffalo Bill and the Indians) (1976)",3.0,1
Buffalo Soldiers (2001),3.3,5
Buffy the Vampire Slayer (1992),3.1,25
Bug (2007),2.25,6
"Bug's Life, A (1998)",3.6078431373,102
"Bugs Bunny / Road Runner Movie, The (a.k.a. The Great American Chase) (1979)",4.0,1
Bugsy (1991),3.375,4
Bugsy Malone (1976),2.5,1
Bull Durham (1988),3.796875,32
Bulldog Drummond (1929),2.5,1
Bullet (1996),2.0,1
Bullet in the Head (1990),4.0,1
Bullet to the Head (2012),3.5,1
Bulletproof (1996),2.7,15
Bulletproof Monk (2003),2.4,10
Bullets Over Broadway (1994),3.5178571429,28
Bullets or Ballots (1936),3.5,1
"Bulli: Cooking in Progress, El (2011)",3.0,1
Bullitt (1968),3.9375,8
Bully (2001),3.0,4
Bulworth (1998),3.525,20
"Bunker, The (2001)",3.5,1
Bunraku (2010),3.5,1
"Buona Sera, Mrs. Campbell (1968)",3.0,1
Burden of Dreams (1982),3.0,1
Burglar (1987),3.0,4
Buried (2010),2.875,4
Burke and Hare (2010),3.5,1
Burlesque (2010),3.0,1
Burn After Reading (2008),3.5652173913,23
Burn Notice: The Fall of Sam Axe (2011),3.0,1
Burn! (Queimada) (1969),3.0,1
"Burning Plain, The (2008)",3.0,1
Burnt (2015),2.5,1
Burnt by the Sun (Utomlyonnye solntsem) (1994),4.4,10
"Burrowers, The (2008)",2.5,2
Bus 174 (Ônibus 174) (2002),2.6666666667000003,3
Bus Stop (1956),2.5,2
Bushwhacked (1995),1.5,2
"Business of Being Born, The (2008)",3.0,1
"Business of Fancydancing, The (2002)",4.0,1
"Business of Strangers, The (2001)",4.0,2
"Business, The (2005)",3.0,1
But I'm a Cheerleader (1999),3.25,4
Butch Cassidy and the Sundance Kid (1969),3.9102564103,78
Butch and Sundance: The Early Days (1979),3.0,1
"Butcher Boy, The (1997)",3.7,5
"Butcher's Wife, The (1991)",2.7777777778,9
"Butcher, The (Boucher, Le) (1970)",2.5,1
Butley (1974),2.5,1
Butterfield 8 (1960),2.0,1
Butterflies Are Free (1972),3.5,1
Butterfly on a Wheel (Shattered) (2007),2.5,1
By the Light of the Silvery Moon (1953),4.5,1
Bye Bye Birdie (1963),2.0,1
"Bye Bye, Love (1995)",2.1666666667,3
Byzantium (2012),3.75,2
"Bête humaine, La (1938)",3.75,2
C.S.A.: The Confederate States of America (2004),3.5,1
CB4 - The Movie (1993),3.5,1
CJ7 (Cheung Gong 7 hou) (2008),2.75,2
CQ (2001),1.5,1
Cabaret (1972),4.25,18
Cabaret Balkan (Bure Baruta) (1998),2.0,1
Cabin Boy (1994),2.0,10
Cabin Fever (2002),3.3333333333,6
Cabin Fever 2: Spring Fever (2009),1.5,1
Cabin in the Sky (1943),3.0,1
"Cabin in the Woods, The (2012)",3.6428571429,14
"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",3.8461538462,13
"Cable Guy, The (1996)",2.7846153846,65
"Caddy, The (1953)",3.5,1
Caddyshack (1980),3.8333333333,45
Caddyshack II (1988),1.9375,8
Cadillac Man (1990),2.625,4
Cadillac Records (2008),2.5,1
Café Lumière (2003),4.0,1
"Cage aux Folles II, La (1980)",3.3333333333,3
"Cage aux Folles, La (1978)",3.3125,8
"Caine Mutiny, The (1954)",3.75,8
"Cairo Station (a.k.a. Iron Gate, The) (Bab el hadid) (1958)",4.5,1
Cairo Time (2009),3.25,2
Calamity Jane (1953),4.0,2
Calendar Girl (1993),1.0,1
Calendar Girls (2003),3.8571428571,7
California Dreamin' (Nesfarsit) (2007),4.0,1
California Split (1974),3.0,1
California Suite (1978),3.0,1
Caligula (1979),1.9,5
Call Northside 777 (1948),3.5,1
"Call of Cthulhu, The (2005)",4.0,2
"Call, The (2013)",3.0,1
Calvary (2014),4.25,4
Camelot (1967),3.5,2
"Cameraman, The (1928)",4.0,1
Camille (1936),3.5,1
Camille Claudel (1988),3.5,1
Camp (2003),4.0,1
"Campaign, The (2012)",3.2,5
Can't Buy Me Love (1987),3.1666666667,6
Can't Hardly Wait (1998),3.3,15
Can't Stop the Music (1980),1.5,2
Can-Can (1960),3.5,1
Canadian Bacon (1995),3.0714285714,7
"Candidate, The (1972)",3.6333333333,15
Candleshoe (1977),3.5,4
Candy (1968),2.0,1
Candyman (1992),3.2,15
Candyman: Farewell to the Flesh (1995),2.6666666667000003,3
Cannibal Holocaust (1980),2.5,1
Cannibal! The Musical (a.k.a. Alferd Packer: The Musical) (1996),3.5,1
Cannonball Run II (1984),2.125,4
"Cannonball Run, The (1981)",2.7222222222,9
"Canterbury Tale, A (1944)",2.5,1
Cape Fear (1962),3.875,20
Cape Fear (1991),3.4905660377,53
Capitalism: A Love Story (2009),3.25,2
Capote (2005),3.875,16
Captain America: The First Avenger (2011),3.85,20
Captain America: The Winter Soldier (2014),3.2352941176,17
Captain Blood (1935),3.75,2
Captain Conan (Capitaine Conan) (1996),4.5,1
Captain Corelli's Mandolin (2001),2.6666666667000003,9
Captain Horatio Hornblower R.N. (1951),4.0,2
Captain Kidd (1945),3.0,1
Captain Phillips (2013),4.05,10
Captain Ron (1992),2.7,5
Captains Courageous (1937),3.5,1
Captives (1994),3.5,2
Capturing the Friedmans (2003),3.625,4
Car Wash (1976),3.5,2
"Carabineers, The (Carabiniers, Les) (1963)",1.0,1
Carancho (2010),3.5,1
Carbon Copy (1981),1.0,1
Care Bears Movie II: A New Generation (1986),3.25,2
"Care Bears Movie, The (1985)",3.0,2
Career Girls (1997),2.75,2
Carefree (1938),3.5,1
Cargo (2009),3.75,2
Cargo (2013),3.5,1
Carlito's Way (1993),3.9069767442,43
Carlos (2010),3.25,2
Carmen (1984),4.5,2
Carmen Jones (1954),4.0,1
Carnage (2011),3.3,5
Carnages (a.k.a. Carnage) (2002),4.0,1
Carnal Knowledge (1971),3.5,2
Carne (1991),4.0,1
Carnival in Flanders (La kermesse héroïque) (1935),1.5,1
Carnival of Souls (1962),2.0,2
Carnosaur (1993),1.0,1
Carnosaur 2 (1995),1.8333333333000001,3
Carnosaur 3: Primal Species (1996),1.0,2
Carol Channing: Larger Than Life (2012),2.5,1
Carousel (1956),4.5,1
Carpool (1996),1.5,2
Carrie (1952),3.0,3
Carrie (1976),3.6511627907,43
Carrie (2013),4.5,1
Carried Away (1996),3.0,3
Carriers (2009),3.25,4
Carrington (1995),3.0,3
Cars (2006),3.4523809524,21
Cars 2 (2011),3.3333333333,3
"Cars That Ate Paris, The (1974)",1.5,1
Casa de mi Padre (2012),3.0,1
Casablanca (1942),4.236,125
Casanova (2005),3.2,5
Case 39 (2009),3.75,2
Cashback (2004),4.5,1
Cashback (2006),4.0,6
Casino (1995),3.7857142857,84
Casino Jack (2010),3.5,2
Casino Royale (1967),2.5,3
Casino Royale (2006),3.89375,80
Casper (1995),2.9485294118,68
Casque d'or (1952),4.0,1
Cassandra's Dream (2007),2.9,5
Casshern (2004),2.0,3
Cast Away (2000),3.7171717172000003,99
Cast a Giant Shadow (1966),2.5,1
Castaway on the Moon (Kimssi pyoryugi) (2009),5.0,1
Castle Freak (1995),1.0,1
"Castle, The (1997)",3.6428571429,7
Casual Sex? (1988),2.25,2
Casualties of War (1989),3.5,6
Cat Ballou (1965),3.5,9
Cat People (1942),3.0,2
Cat People (1982),2.8333333333,6
"Cat Returns, The (Neko no ongaeshi) (2002)",3.875,4
"Cat from Outer Space, The (1978)",3.1428571429,7
"Cat in the Hat, The (1971)",3.5,1
"Cat in the Hat, The (2003)",1.7000000000000002,5
Cat on a Hot Tin Roof (1958),4.0277777778,18
Cat's Eye (1985),3.25,4
"Cat's Meow, The (2002)",3.0,2
Catch .44 (2011),2.0,1
Catch Me If You Can (2002),4.0,85
Catch a Fire (2006),2.75,2
Catch and Release (2006),3.0,3
Catch-22 (1970),4.2857142857,7
Catching Hell (2011),3.5,1
"Catered Affair, The (1956)",4.0,1
Catfish (2010),3.1666666667,3
Cats & Dogs (2001),2.8333333333,6
Cats Don't Dance (1997),3.0,1
Catwalk (1996),2.0,1
Catwoman (2004),1.15,10
Caught (1996),4.0,2
Cave of Forgotten Dreams (2010),2.75,2
"Cave, The (2005)",2.5,1
Ce que mes yeux ont vu (2007),3.0,1
Cecil B. DeMented (2000),3.8571428571,7
Cedar Rapids (2011),3.5,5
"Celebration, The (Festen) (1998)",4.3125,8
Celebrity (1998),2.9285714286,7
Cell 211 (Celda 211) (2009),4.25,2
"Cell, The (2000)",3.1857142857,35
Cellular (2004),2.8636363636,11
"Celluloid Closet, The (1995)",4.0,6
Celtic Pride (1996),3.5714285714000003,7
"Cement Garden, The (1993)",4.3333333333,3
"Cemetery Club, The (1993)",2.5,1
Cemetery Junction (2010),3.5,1
Cemetery Man (Dellamorte Dellamore) (1994),3.25,4
Center Stage (2000),3.375,4
"Center of the World, The (2001)",2.0,1
Central Station (Central do Brasil) (1998),4.3,15
Centurion (2010),2.7,5
"Cercle Rouge, Le (Red Circle, The) (1970)",3.75,4
Certified Copy (Copie conforme) (2010),2.25,2
Chain Reaction (1996),3.0208333333,24
Chained Heat (1983),0.5,1
"Chamber, The (1996)",3.4166666667,6
"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La) (1998)",4.0,1
"Champ, The (1931)",3.5,1
"Champ, The (1979)",4.0,1
Champagne (1928),4.0,1
Champion (1949),3.5,1
Chances Are (1989),2.0,2
"Change-Up, The (2011)",3.25,4
Changeling (2008),3.1666666667,9
"Changeling, The (1980)",1.0,1
Changing Lanes (2002),2.9090909091,11
"Chant of Jimmy Blacksmith, The (1978)",3.0,1
Chaos (2005),3.25,2
Chaos Theory (2007),3.5,1
Chaplin (1992),3.375,4
Chappie (2015),3.9166666667000003,6
Chapter Two (1979),2.5,1
Character (Karakter) (1997),4.1666666667,6
Charade (1963),3.8235294118,17
"Charge of the Light Brigade, The (1936)",4.0,1
Chariots of Fire (1981),3.8333333333,33
Charley Varrick (1973),3.3333333333,3
Charlie Bartlett (2007),3.5,4
"Charlie Brown Christmas, A (1965)",4.0,3
Charlie Wilson's War (2007),3.7777777778,18
Charlie and the Chocolate Factory (2005),3.3225806452,31
Charlie's Angels (2000),2.9920634920999998,63
Charlie's Angels: Full Throttle (2003),2.38,25
"Charlie, the Lonesome Cougar (1967)",3.0,1
Charlotte's Web (1973),3.3214285714000003,28
Charlotte's Web (2006),3.5,2
Charly (1968),4.5,2
"Chase, The (1994)",5.0,1
"Chaser, The (Chugyeogja) (2008)",4.5,1
Chasing Amy (1997),3.5808823529,68
Chasing Liberty (2004),2.5,1
Chasing Papi (a.k.a. Papi Chulo) (2003),1.5,1
Chato's Land (1972),2.0,1
Che: Part One (2008),2.0,1
Cheap Thrills (2013),3.5,2
Cheaper by the Dozen (1950),4.25,2
Cheaper by the Dozen (2003),3.0,5
Cheaper by the Dozen 2 (2005),2.0,3
Cheech & Chong's Next Movie (1980),3.5,2
Cheech & Chong's Nice Dreams (1981),4.5,1
Cheech & Chong's The Corsican Brothers (1984),2.0,1
Cheech and Chong's Up in Smoke (1978),3.2777777778,9
Cheerleader Camp (1987),2.5,1
"Cheerleaders, The (1973)",1.5,1
Chef (2014),3.4,5
"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti) (1997)",3.6666666667000003,3
Cheri (2009),1.0,1
Cherry 2000 (1987),2.5,2
Cheyenne Autumn (1964),2.5,1
Chicago (2002),3.619047619,42
Chicken Little (2005),2.375,8
Chicken Run (2000),3.5071428571,70
Chicken with Plums (Poulet aux prunes) (2011),4.0,1
Chico & Rita (2010),2.0,1
Child 44 (2015),4.0,2
"Child Is Waiting, A (1963)",4.5,1
Child's Play (1988),3.5909090909,11
Child's Play 2 (1990),2.9166666667000003,6
Child's Play 3 (1991),2.3333333333,3
Child's Pose (2013),2.5,1
"Child, The (L'enfant) (2005)",3.5,1
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",2.5,1
Children of Dune (2003),3.5,3
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",4.1666666667,3
"Children of Huang Shi, The (2008)",3.0,1
Children of Men (2006),3.9827586207000003,58
Children of Paradise (Les enfants du paradis) (1945),3.8,5
Children of a Lesser God (1986),3.65,10
Children of the Corn (1984),2.2142857143,14
Children of the Corn II: The Final Sacrifice (1993),2.0,3
Children of the Corn III (1994),1.5,4
Children of the Corn IV: The Gathering (1996),3.3333333333,6
Children of the Corn: Revelation (2001),4.0,1
Children of the Damned (1963),3.0,5
Children of the Revolution (1996),2.8333333333,3
"Children's Hour, The (1961)",3.6,5
"Children, The (2008)",2.3333333333,3
Chill Factor (1999),1.0,1
China Moon (1994),3.0,1
"China Syndrome, The (1979)",3.4,5
Chinatown (1974),4.3235294118,68
Chinese Box (1997),2.6666666667000003,3
"Chinese Ghost Story, A (Sinnui yauwan) (1987)",4.0,1
Chinese Puzzle (Casse-tête chinois) (2013),3.5,1
Chitty Chitty Bang Bang (1968),3.1428571429,7
Chloe (2009),3.2,5
Chocolat (1988),3.5,5
Chocolat (2000),3.9680851064000002,47
Chocolate (2008),3.5,2
Choices (1981),4.0,1
Choke (2008),3.125,4
Choose Me (1984),2.5,1
Chop Shop (2007),3.5,1
Chopper (2000),4.0625,8
Chopping Mall (a.k.a. Killbots) (1986),1.0,1
"Chorus Line, A (1985)",2.75,4
"Chorus, The (Choristes, Les) (2004)",3.625,8
Christiane F. (a.k.a. We Children from Bahnhof Zoo) (Christiane F. - Wir Kinder vom Bahnhof Zoo) (1981),2.5,2
Christine (1983),3.1428571429,7
"Christmas Carol, A (1938)",3.8125,8
"Christmas Carol, A (2009)",3.5,2
"Christmas Carol, A (Scrooge) (1951)",3.3333333333,6
Christmas Evil (a.k.a. You Better Watch Out) (1980),3.0,1
"Christmas Story, A (1983)",4.1229508197,61
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),3.6428571429,35
Christmas in July (1940),3.0,1
Christmas with the Kranks (2004),3.5,1
Chronicle (2012),4.0,6
"Chronicles of Narnia: Prince Caspian, The (2008)",3.3571428571,7
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",3.4090909091,33
"Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010)",3.75,4
"Chronicles of Riddick, The (2004)",3.4464285714000003,28
Chuck Berry Hail! Hail! Rock 'n' Roll (1987),3.0,1
"Chump at Oxford, A (1940)",2.5,1
Chungking Express (Chung Hing sam lam) (1994),3.8,15
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",4.0,2
"Cider House Rules, The (1999)",3.8,25
"Cincinnati Kid, The (1965)",3.5,2
Cinderella (1950),3.5384615385,39
Cinderella Man (2005),3.6666666667000003,21
"Cinderella Story, A (2004)",3.5,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989),4.4594594595,37
Cinema Verite (2011),3.0,1
Circle (2015),3.0,1
Circle of Friends (1995),3.7352941176,17
Cirque du Freak: The Vampire's Assistant (2009),3.1666666667,3
Citadel (2012),4.5,1
Citizen Gangster (2011),4.5,1
Citizen Kane (1941),4.3961038961,77
Citizen Ruth (1996),3.4583333333,12
Citizenfour (2014),3.6666666667000003,6
City Hall (1996),3.4615384615,13
City Island (2009),4.0,1
City Lights (1931),4.0,11
City Slickers (1991),3.2558139535,43
City Slickers II: The Legend of Curly's Gold (1994),2.7166666667,60
City Streets (1931),3.5,1
City by the Sea (2002),3.3333333333,3
City of Angels (1998),3.225,20
City of Ember (2008),3.3571428571,7
City of Ghosts (2002),2.5,1
City of God (Cidade de Deus) (2002),4.1567164179,67
City of Hope (1991),2.5,1
City of Industry (1997),2.3125,8
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.2333333333,45
City of Men (Cidade dos Homens) (2007),3.75,2
"City of Your Final Destination, The (2009)",2.5,1
City on Fire (Lung fu fong wan) (1987),4.0,1
Civic Duty (2006),0.5,1
"Civil Action, A (1998)",3.25,20
"Civil War, The (1990)",4.75,2
"Claim, The (2000)",4.0,1
"Claire's Knee (Genou de Claire, Le) (1970)",3.0,1
"Clairvoyant, The (1935)",3.0,1
"Clan of the Cave Bear, The (1986)",3.25,4
Clash by Night (1952),2.0,1
Clash of the Titans (1981),3.4583333333,12
Clash of the Titans (2010),2.5625,8
Class Action (1991),3.0,2
Class Reunion (1982),3.0,1
Class of Nuke 'Em High (1986),1.5,2
"Class, The (Entre les murs) (2008)",2.5,1
"Classe Tous Risques (Big Risk, The) (1960)",4.5,1
Clay Pigeons (1998),3.3888888889,9
Clean Slate (1994),2.0,1
Clean and Sober (1988),2.25,2
Cleaner (2007),2.5,2
Clear History (2013),3.0,1
Clear and Present Danger (1994),3.6902985075,134
"Clearing, The (2004)",3.25,2
Cleo from 5 to 7 (Cléo de 5 à 7) (1962),3.75,2
Cleopatra (1963),4.0,1
Clerks (1994),3.9801980198,101
Clerks II (2006),3.5882352941,17
Click (2006),3.2272727273,11
"Client, The (1994)",3.3923076923,65
Cliffhanger (1993),3.1140350877,114
"Clock, The (1945)",2.0,1
Clockers (1995),3.5666666666999998,15
Clockstoppers (2002),0.5,1
Clockwatchers (1997),2.6666666667000003,3
Clockwise (1986),3.625,4
"Clockwork Orange, A (1971)",3.8656716418,134
Clone (Womb) (2010),4.0,1
"Clonus Horror, The (1979)",0.5,1
Close Encounters of the Third Kind (1977),4.0,61
Close Your Eyes (Hypnotic) (Doctor Sleep) (2002),3.0,1
Closed Circuit (2013),2.5,1
Closely Watched Trains (Ostre sledované vlaky) (1966),2.0,1
Closer (2004),3.1923076923,13
"Closet, The (Placard, Le) (2001)",4.0,4
Closing the Ring (2007),3.5,1
Cloud Atlas (2012),3.3888888889,9
Clouds of Sils Maria (2014),3.5,1
Cloudy with a Chance of Meatballs (2009),3.3888888889,9
Cloudy with a Chance of Meatballs 2 (2013),2.75,2
Cloverfield (2008),3.45,20
Club Dread (2004),2.0,2
Club Paradise (1986),1.5,1
Clue (1985),3.3709677419,31
Clueless (1995),3.2755102041,98
Cluny Brown (1946),3.5,1
Coach Carter (2005),3.8,5
Coal Miner's Daughter (1980),3.5,7
"Coast Guard, The (Hae anseon) (2002)",3.0,1
Cobb (1994),3.5,5
Cobra (1925),3.5,2
Cobra (1986),2.3333333333,6
Cobra Woman (1944),1.5,1
"Cobweb, The (1955)",1.0,1
"Coca-Cola Kid, The (1985)",3.0,1
Cocaine Cowboys (2006),4.1,5
Cocktail (1988),2.9615384615,13
Coco Before Chanel (Coco avant Chanel) (2009),3.0,2
Coco Chanel & Igor Stravinsky (2009),2.25,2
"Cocoanuts, The (1929)",3.8333333333,3
Cocoon (1985),3.3225806452,62
Cocoon: The Return (1988),2.7916666667000003,12
Code 46 (2003),2.9,5
Coffee and Cigarettes (2003),3.3,10
Coffy (1973),2.25,2
Coherence (2013),4.25,2
Cold Comfort Farm (1995),3.59375,16
Cold Creek Manor (2003),1.5,1
Cold Fever (Á köldum klaka) (1995),5.0,1
Cold Fish (Tsumetai nettaigyo) (2010),3.5,2
Cold Mountain (2003),3.7647058824,17
Cold Prey (Fritt Vilt) (2006),3.0,1
Cold Souls (2009),2.8333333333,3
Cold Weather (2010),0.5,1
Cold in July (2014),2.0,1
Collapse (2009),4.5,1
Collateral (2004),3.7282608696,46
Collateral Damage (2002),2.3,10
"Collector, The (1965)",3.5,1
"Collector, The (2009)",3.5,1
"Collector, The (La collectionneuse) (1967)",4.5,1
College (2008),3.5,1
College Road Trip (2008),1.0,1
Colombiana (2011),2.6,5
"Colonel Chabert, Le (1994)",4.0,2
"Color Purple, The (1985)",3.8448275862,29
"Color of Money, The (1986)",3.78125,16
Color of Night (1994),2.7222222222,9
"Color of Paradise, The (Rang-e khoda) (1999)",4.25,2
Colorado Territory (1949),3.5,1
Colors (1988),3.0,3
Colour Me Kubrick: A True...ish Story (2005),2.5,1
"Colour of Magic, The (Terry Pratchett's The Colour of Magic) (2008)",4.1666666667,3
ComDads (les Compères) (1983),2.5,1
Coma (1978),3.0,8
"Comancheros, The (1961)",2.0,1
"Combat dans L'Ile, Le (Fire and Ice) (1962)",2.5,1
Combien Tu M'aimes? (How Much Do You Love Me?) (2005),2.5,1
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean (1982)",4.0,1
Come See the Paradise (1990),4.0,1
Come September (1961),3.5,2
Come Undone (Cosa voglio di più) (2010),3.0,1
Come and See (Idi i smotri) (1985),3.25,2
Come to the Stable (1949),2.5,1
Comedian (2002),3.0,2
"Comedians of Comedy, The (2005)",4.25,2
"Comedy of Terrors, The (1964)",3.0,1
Comfort and Joy (1984),2.0,1
"Comfort of Strangers, The (1990)",3.25,2
Comic Book: The Movie (2004),3.5,1
Comic-Con Episode IV: A Fan's Hope (2011),4.0,1
Coming Home (1978),4.25,4
Coming to America (1988),3.6153846154,26
Commandments (1997),3.5,2
Commando (1985),3.0,12
"Commitments, The (1991)",3.6111111111,27
Communion (1989),2.0,3
"Company Men, The (2010)",3.25,2
"Company You Keep, The (2012)",4.5,1
"Company of Wolves, The (1984)",3.0,1
"Company, The (2003)",2.875,4
Compliance (2012),2.75,2
"Computer Wore Tennis Shoes, The (1969)",3.2,5
Con Air (1997),3.3203125,64
Conan O'Brien Can't Stop (2011),3.5,1
Conan the Barbarian (1982),3.4375,40
Conan the Barbarian (2011),3.0,1
Conan the Destroyer (1984),2.6666666667000003,9
"Concert for George, The (2003)",2.0,1
"Concert, Le (2009)",4.0,1
"Concorde: Airport '79, The (1979)",1.0,2
"Condemned, The (2007)",1.75,2
Condorman (1981),3.0,7
Coneheads (1993),2.5923076923,65
Confession (1937),3.0,1
"Confessional, The (Confessionnal, Le) (1995)",3.0,3
Confessions of a Dangerous Mind (2002),3.625,20
Confessions of a Nazi Spy (1939),4.5,1
Confessions of a Pop Performer (1975),3.0,1
Confessions of a Shopaholic (2009),2.0,3
Confessions of a Teenage Drama Queen (2004),0.5,1
Confessions of a Window Cleaner (1974),3.0,1
Confidence (2003),3.5,7
Confidential Report (1955),4.0,1
Conflict (1945),3.5,1
"Conformist, The (Conformista, Il) (1970)",4.0,1
Congo (1995),2.7254901961,51
"Conjuring, The (2013)",4.0,5
Connie and Carla (2004),3.5,1
Conquest of the Planet of the Apes (1972),2.7777777778,9
Consenting Adults (1992),2.5,2
Conspiracy (2008),3.5,1
Conspiracy Theory (1997),3.2786885246,61
"Conspirator, The (2010)",3.3333333333,3
"Constant Gardener, The (2005)",3.7105263158,19
Constantine (2005),3.5217391304,23
Contact (1997),3.693877551,98
Contagion (2011),3.5,6
"Contempt (Mépris, Le) (1963)",3.6666666667000003,3
"Contender, The (2000)",3.75,6
Continental Divide (1981),2.25,2
Contraband (2012),3.625,4
Contracted (2013),1.5,1
Control (2007),3.0,1
Control (Kontroll) (2003),1.75,2
Control Room (2004),3.3333333333,3
"Convent, The (O Convento) (1995)",4.0,1
"Conversation, The (1974)",3.85,20
